NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07168;2003-08-01 00:00:00;1003.2;1016.8;23.4;7.3;31.4;15.1;15.3;17;4;324;26;31;31;31;31;31;27;17;11;1;;;1;1;0;;;;;;12;0;0;;;;29.9;2003-08-06 00:00:00;13.9;2003-08-31 00:00:00;40.6;2003-08-12 00:00:00;8.4;2003-08-31 00:00:00;10.2;2003-08-17 00:00:00;17;2003-08-14 00:00:00;2;0;6;18
07181;2003-08-01 00:00:00;976.6;1016.4;23.3;6.7;30.4;16.1;13.9;30;3;;27;31;31;31;31;0;28;14;10;0;;;2;1;0;;;;;;12;0;0;;;;29.9;2003-08-12 00:00:00;12.9;2003-08-31 00:00:00;38.4;2003-08-12 00:00:00;8.9;2003-08-31 00:00:00;15.2;2003-08-28 00:00:00;17;2003-08-28 00:00:00;4;0;6;18
07190;2003-08-01 00:00:00;998.7;1016.3;23.9;6.3;31.9;16.8;15.8;24;5;316;28;31;31;31;31;31;29;18;10;0;;;2;1;0;;;;;;14;1;0;;;;28.9;2003-08-13 00:00:00;15.6;2003-08-31 00:00:00;38.5;2003-08-09 00:00:00;12.2;2003-08-31 00:00:00;11.2;2003-08-28 00:00:00;21;2003-08-17 00:00:00;4;0;6;18
07207;2003-08-01 00:00:00;1012.7;1017.8;21;3.6;25.3;17.6;18.9;4;2;;23;31;31;31;31;0;12;5;;;;;0;;;;;;;;24;0;0;0;1;2;27.2;2003-08-09 00:00:00;15.3;2003-08-31 00:00:00;33.4;2003-08-04 00:00:00;9.7;2003-08-31 00:00:00;2.2;2003-08-28 00:00:00;19;2003-08-04 00:00:00;;;6;18
07222;2003-08-01 00:00:00;1013.8;1016.9;23.2;5.8;30.1;17.2;18.3;15;2;292;31;31;31;31;31;31;28;13;7;0;;;1;;;;;;;;7;0;0;0;0;3;30.6;2003-08-09 00:00:00;15.8;2003-08-31 00:00:00;39.2;2003-08-10 00:00:00;8.2;2003-08-31 00:00:00;8.8;2003-08-28 00:00:00;12;2003-08-29 00:00:00;2;0;6;18
07240;2003-08-01 00:00:00;1003.7;1016.5;24.3;6.5;31.4;17.5;16.8;3;1;312;27;31;31;31;31;31;29;14;11;0;;;0;;;;;;;;9;0;0;;;;30.7;2003-08-10 00:00:00;15.6;2003-08-31 00:00:00;39.8;2003-08-10 00:00:00;9.2;2003-08-31 00:00:00;1.8;2003-08-17 00:00:00;13;2003-08-14 00:00:00;3;0;6;18
07255;2003-08-01 00:00:00;997.2;1016.2;25.2;6.8;31.9;18;15.9;21;4;292;29;31;31;31;31;31;27;18;11;0;;;2;;;;;;;;7;0;0;;;;32.2;2003-08-10 00:00:00;15.5;2003-08-31 00:00:00;39.9;2003-08-10 00:00:00;10.1;2003-08-31 00:00:00;8.6;2003-08-17 00:00:00;14;2003-08-29 00:00:00;5;0;6;18
07280;2003-08-01 00:00:00;990.4;1016.1;25.1;6.3;32.2;18.3;15;34;6;318;25;31;31;31;31;31;28;21;11;0;;;2;2;0;;;;;;17;0;0;;;;30.9;2003-08-07 00:00:00;15.5;2003-08-31 00:00:00;39.3;2003-08-12 00:00:00;11.5;2003-08-31 00:00:00;12.2;2003-08-28 00:00:00;19;2003-08-28 00:00:00;5;0;6;18
07299;2003-08-01 00:00:00;985.1;1016.2;23.5;6.8;32.3;15.3;15.9;41;8;320;31;31;31;31;31;31;29;23;11;0;;;3;2;0;;;;;;12;2;0;;;;28.6;2003-08-13 00:00:00;15.1;2003-08-31 00:00:00;39.1;2003-08-13 00:00:00;11.3;2003-08-27 00:00:00;12.8;2003-08-17 00:00:00;24;2003-08-28 00:00:00;6;0;6;18
07314;2003-08-01 00:00:00;1014.4;1016.9;22.9;2.8;26.2;20.6;22.6;8;2;;28;31;31;31;31;0;19;4;1;0;;;0;;;;;;;;15;0;0;0;0;1;28.5;2003-08-04 00:00:00;18.2;2003-08-31 00:00:00;35.9;2003-08-04 00:00:00;15.2;2003-08-31 00:00:00;3.2;2003-08-17 00:00:00;14;2003-08-30 00:00:00;2;0;6;18
07335;2003-08-01 00:00:00;1002.6;1016.4;24.3;6.9;32.1;16.5;16.9;13;4;299;28;31;31;31;31;31;28;17;11;0;;;1;;;;;;;;12;0;0;;;;30.6;2003-08-05 00:00:00;15.7;2003-08-31 00:00:00;39.6;2003-08-06 00:00:00;7.7;2003-08-31 00:00:00;8.2;2003-08-28 00:00:00;18;2003-08-06 00:00:00;4;0;6;18
07434;2003-08-01 00:00:00;970.7;1016.1;24;6.1;29.9;18.5;16.9;83;9;290;25;31;31;31;31;31;27;14;11;0;;;6;3;0;;;;;;9;1;0;0;0;1;30.7;2003-08-05 00:00:00;14.7;2003-08-31 00:00:00;37.2;2003-08-05 00:00:00;9.8;2003-08-31 00:00:00;21.2;2003-08-29 00:00:00;20;2003-08-20 00:00:00;9;0;6;18
07460;2003-08-01 00:00:00;978.7;1015.9;24.2;6.5;32.1;17.3;15.7;63;7;283;18;31;31;31;31;31;28;19;11;0;;;3;1;0;;;;;;12;1;0;;;;30;2003-08-10 00:00:00;14.8;2003-08-31 00:00:00;39.5;2003-08-10 00:00:00;9.6;2003-08-01 00:00:00;36;2003-08-28 00:00:00;25;2003-08-17 00:00:00;8;0;6;18
